ID,x,y,type
0,4.07,5.27,original
1,28.27,0.11,original
2,44.32,4.64,original
3,61.37,5.26,original
4,82.81,9.73,original
5,102.41,9.04,original
6,129.12,8.81,original
7,143.94,5.12,original
8,9.86,20.91,original
9,28.03,26.45,original
10,40.88,26.18,original
11,69.12,23.2,original
12,88.66,23.05,original
13,108.31,20.09,original
14,124.01,28.24,original
15,141.18,20.68,original
16,0.01,46.76,original
17,28.44,48.24,original
18,46.87,41.75,original
19,65.07,48.73,original
20,82.15,47.62,original
21,107.31,48.91,original
22,124.67,40.49,original
23,146.14,48.17,original
24,9.89,60.28,original
25,24.99,66.67,original
26,43.66,65.61,original
27,68.31,62.13,original
28,86.35,61.71,original
29,102.64,63.98,original
30,123.61,62.95,original
31,141.72,63.18,original
32,7.0,82.2,original
33,22.01,82.82,original
34,47.54,84.78,original
35,63.59,80.92,original
36,82.12,88.68,original
37,106.04,80.13,original
38,129.06,89.7,original
39,143.12,84.81,original
0_1_1,8.9601,4.2273,intermediate
0_1_2,13.8501,3.1846,intermediate
0_1_3,18.7402,2.142,intermediate
0_1_4,23.6303,1.0993,intermediate
1_0_1,23.3799,1.1527,intermediate
1_0_2,18.4899,2.1954,intermediate
1_0_3,13.5998,3.238,intermediate
1_0_4,8.7097,4.2807,intermediate
0_8_1,5.8059,9.959,intermediate
0_8_2,7.5418,14.648,intermediate
0_8_3,9.2777,19.337,intermediate
8_0_1,8.1241,16.221,intermediate
8_0_2,6.3882,11.532,intermediate
8_0_3,4.6523,6.843,intermediate
1_2_1,33.082,1.4682,intermediate
1_2_2,37.894,2.8263,intermediate
1_2_3,42.706,4.1845,intermediate
2_1_1,39.508,3.2818,intermediate
2_1_2,34.696,1.9237,intermediate
2_1_3,29.884,0.5655,intermediate
1_9_1,28.2244,5.1098,intermediate
1_9_2,28.1789,10.1096,intermediate
1_9_3,28.1333,15.1094,intermediate
1_9_4,28.0878,20.1092,intermediate
1_9_5,28.0422,25.109,intermediate
9_1_1,28.0756,21.4502,intermediate
9_1_2,28.1211,16.4504,intermediate
9_1_3,28.1667,11.4506,intermediate
9_1_4,28.2122,6.4508,intermediate
9_1_5,28.2578,1.451,intermediate
2_3_1,49.3167,4.8217,intermediate
2_3_2,54.3134,5.0034,intermediate
2_3_3,59.3101,5.1851,intermediate
3_2_1,56.3733,5.0783,intermediate
3_2_2,51.3766,4.8966,intermediate
3_2_3,46.3799,4.7149,intermediate
2_10_1,43.5315,9.5774,intermediate
2_10_2,42.743,14.5149,intermediate
2_10_3,41.9544,19.4523,intermediate
2_10_4,41.1659,24.3897,intermediate
