ID,x,y,type
0,800.38,945.74,original
1,862.71,935.52,original
2,922.1,928.5,original
3,962.78,923.87,original
4,1001.31,920.72,original
5,1003.78,887.41,original
6,1021.21,870.8,original
7,1072.62,848.82,original
8,1060.85,811.55,original
9,842.07,778.24,original
10,898.13,792.96,original
11,960.05,807.38,original
12,952.12,838.59,original
13,982.15,847.61,original
14,1013.58,798.26,original
15,1054.73,787.94,original
16,1135.16,800.41,original
17,1132.87,829.27,original
0_1_1,805.3141,944.931,intermediate
0_1_2,810.2482,944.1219,intermediate
0_1_3,815.1823,943.3129,intermediate
0_1_4,820.1165,942.5039,intermediate
0_1_5,825.0506,941.6949,intermediate
0_1_6,829.9847,940.8858,intermediate
0_1_7,834.9188,940.0768,intermediate
0_1_8,839.8529,939.2678,intermediate
0_1_9,844.787,938.4588,intermediate
0_1_10,849.7211,937.6497,intermediate
0_1_11,854.6552,936.8407,intermediate
0_1_12,859.5894,936.0317,intermediate
1_0_1,857.7759,936.329,intermediate
1_0_2,852.8418,937.1381,intermediate
1_0_3,847.9077,937.9471,intermediate
1_0_4,842.9735,938.7561,intermediate
1_0_5,838.0394,939.5651,intermediate
1_0_6,833.1053,940.3742,intermediate
1_0_7,828.1712,941.1832,intermediate
1_0_8,823.2371,941.9922,intermediate
1_0_9,818.303,942.8012,intermediate
1_0_10,813.3689,943.6103,intermediate
1_0_11,808.4348,944.4193,intermediate
1_0_12,803.5006,945.2283,intermediate
0_9_1,801.5876,940.888,intermediate
0_9_2,802.7953,936.0361,intermediate
0_9_3,804.0029,931.1841,intermediate
0_9_4,805.2105,926.3321,intermediate
0_9_5,806.4182,921.4801,intermediate
0_9_6,807.6258,916.6282,intermediate
0_9_7,808.8334,911.7762,intermediate
0_9_8,810.0411,906.9242,intermediate
0_9_9,811.2487,902.0723,intermediate
0_9_10,812.4563,897.2203,intermediate
0_9_11,813.664,892.3683,intermediate
0_9_12,814.8716,887.5164,intermediate
0_9_13,816.0792,882.6644,intermediate
0_9_14,817.2869,877.8124,intermediate
0_9_15,818.4945,872.9604,intermediate
0_9_16,819.7021,868.1085,intermediate
0_9_17,820.9098,863.2565,intermediate
0_9_18,822.1174,858.4045,intermediate
0_9_19,823.325,853.5526,intermediate
0_9_20,824.5327,848.7006,intermediate
0_9_21,825.7403,843.8486,intermediate
0_9_22,826.9479,838.9966,intermediate
0_9_23,828.1556,834.1447,intermediate
0_9_24,829.3632,829.2927,intermediate
0_9_25,830.5708,824.4407,intermediate
0_9_26,831.7785,819.5888,intermediate
0_9_27,832.9861,814.7368,intermediate
0_9_28,834.1937,809.8848,intermediate
0_9_29,835.4014,805.0328,intermediate
0_9_30,836.609,800.1809,intermediate
0_9_31,837.8166,795.3289,intermediate
0_9_32,839.0243,790.4769,intermediate
0_9_33,840.2319,785.625,intermediate
0_9_34,841.4395,780.773,intermediate
9_0_1,840.8624,783.092,intermediate
9_0_2,839.6547,787.9439,intermediate
9_0_3,838.4471,792.7959,intermediate
9_0_4,837.2395,797.6479,intermediate
9_0_5,836.0318,802.4999,intermediate
9_0_6,834.8242,807.3518,intermediate
9_0_7,833.6166,812.2038,intermediate
9_0_8,832.4089,817.0558,intermediate
9_0_9,831.2013,821.9077,intermediate
9_0_10,829.9937,826.7597,intermediate
9_0_11,828.786,831.6117,intermediate
9_0_12,827.5784,836.4636,intermediate
9_0_13,826.3708,841.3156,intermediate
9_0_14,825.1631,846.1676,intermediate
9_0_15,823.9555,851.0196,intermediate
9_0_16,822.7479,855.8715,intermediate
9_0_17,821.5402,860.7235,intermediate
9_0_18,820.3326,865.5755,intermediate
9_0_19,819.125,870.4274,intermediate
9_0_20,817.9173,875.2794,intermediate
9_0_21,816.7097,880.1314,intermediate
9_0_22,815.5021,884.9834,intermediate
9_0_23,814.2944,889.8353,intermediate
9_0_24,813.0868,894.6873,intermediate
9_0_25,811.8792,899.5393,intermediate
9_0_26,810.6715,904.3912,intermediate
9_0_27,809.4639,909.2432,intermediate
9_0_28,808.2563,914.0952,intermediate
9_0_29,807.0486,918.9472,intermediate
9_0_30,805.841,923.7991,intermediate
9_0_31,804.6334,928.6511,intermediate
9_0_32,803.4257,933.5031,intermediate
9_0_33,802.2181,938.355,intermediate
9_0_34,801.0105,943.207,intermediate
1_2_1,867.6754,934.9331,intermediate
1_2_2,872.6409,934.3462,intermediate
1_2_3,877.6063,933.7592,intermediate
1_2_4,882.5717,933.1723,intermediate
1_2_5,887.5372,932.5854,intermediate
1_2_6,892.5026,931.9985,intermediate
1_2_7,897.468,931.4115,intermediate
1_2_8,902.4335,930.8246,intermediate
1_2_9,907.3989,930.2377,intermediate
1_2_10,912.3643,929.6508,intermediate
1_2_11,917.3298,929.0639,intermediate
2_1_1,917.1346,929.0869,intermediate
2_1_2,912.1691,929.6738,intermediate
2_1_3,907.2037,930.2608,intermediate
2_1_4,902.2383,930.8477,intermediate
2_1_5,897.2728,931.4346,intermediate
2_1_6,892.3074,932.0215,intermediate
2_1_7,887.342,932.6085,intermediate
2_1_8,882.3765,933.1954,intermediate
2_1_9,877.4111,933.7823,intermediate
2_1_10,872.4457,934.3692,intermediate
2_1_11,867.4802,934.9561,intermediate
1_10_1,863.9156,930.6675,intermediate
1_10_2,865.1213,925.8151,intermediate
1_10_3,866.3269,920.9626,intermediate
1_10_4,867.5325,916.1101,intermediate
1_10_5,868.7381,911.2577,intermediate
1_10_6,869.9438,906.4052,intermediate
1_10_7,871.1494,901.5527,intermediate
1_10_8,872.355,896.7002,intermediate
1_10_9,873.5607,891.8478,intermediate
1_10_10,874.7663,886.9953,intermediate
1_10_11,875.9719,882.1428,intermediate
1_10_12,877.1775,877.2904,intermediate
1_10_13,878.3832,872.4379,intermediate
1_10_14,879.5888,867.5854,intermediate
1_10_15,880.7944,862.733,intermediate
1_10_16,882.0001,857.8805,intermediate
1_10_17,883.2057,853.028,intermediate
1_10_18,884.4113,848.1756,intermediate
1_10_19,885.617,843.3231,intermediate
1_10_20,886.8226,838.4706,intermediate
1_10_21,888.0282,833.6181,intermediate
1_10_22,889.2338,828.7657,intermediate
1_10_23,890.4395,823.9132,intermediate
1_10_24,891.6451,819.0607,intermediate
1_10_25,892.8507,814.2083,intermediate
1_10_26,894.0564,809.3558,intermediate
1_10_27,895.262,804.5033,intermediate
1_10_28,896.4676,799.6509,intermediate
1_10_29,897.6732,794.7984,intermediate
10_1_1,896.9244,797.8125,intermediate
10_1_2,895.7187,802.6649,intermediate
10_1_3,894.5131,807.5174,intermediate
10_1_4,893.3075,812.3699,intermediate
10_1_5,892.1019,817.2223,intermediate
10_1_6,890.8962,822.0748,intermediate
10_1_7,889.6906,826.9273,intermediate
10_1_8,888.485,831.7798,intermediate
10_1_9,887.2793,836.6322,intermediate
10_1_10,886.0737,841.4847,intermediate
10_1_11,884.8681,846.3372,intermediate
10_1_12,883.6625,851.1896,intermediate
10_1_13,882.4568,856.0421,intermediate
10_1_14,881.2512,860.8946,intermediate
10_1_15,880.0456,865.747,intermediate
10_1_16,878.8399,870.5995,intermediate
10_1_17,877.6343,875.452,intermediate
10_1_18,876.4287,880.3044,intermediate
10_1_19,875.223,885.1569,intermediate
10_1_20,874.0174,890.0094,intermediate
10_1_21,872.8118,894.8619,intermediate
10_1_22,871.6062,899.7143,intermediate
10_1_23,870.4005,904.5668,intermediate
10_1_24,869.1949,909.4193,intermediate
10_1_25,867.9893,914.2717,intermediate
10_1_26,866.7836,919.1242,intermediate
10_1_27,865.578,923.9767,intermediate
10_1_28,864.3724,928.8291,intermediate
10_1_29,863.1668,933.6816,intermediate
2_3_1,927.0679,927.9346,intermediate
2_3_2,932.0359,927.3691,intermediate
2_3_3,937.0038,926.8037,intermediate
2_3_4,941.9717,926.2383,intermediate
2_3_5,946.9396,925.6729,intermediate
2_3_6,951.9076,925.1074,intermediate
2_3_7,956.8755,924.542,intermediate
2_3_8,961.8434,923.9766,intermediate
3_2_1,957.8121,924.4354,intermediate
3_2_2,952.8441,925.0009,intermediate
3_2_3,947.8762,925.5663,intermediate
3_2_4,942.9083,926.1317,intermediate
3_2_5,937.9404,926.6971,intermediate
3_2_6,932.9724,927.2626,intermediate
3_2_7,928.0045,927.828,intermediate
3_2_8,923.0366,928.3934,intermediate
2_12_1,923.6835,923.7574,intermediate
2_12_2,925.267,919.0148,intermediate
2_12_3,926.8505,914.2721,intermediate
2_12_4,928.434,909.5295,intermediate
2_12_5,930.0176,904.7869,intermediate
2_12_6,931.6011,900.0443,intermediate
2_12_7,933.1846,895.3016,intermediate
2_12_8,934.7681,890.559,intermediate
2_12_9,936.3516,885.8164,intermediate
2_12_10,937.9351,881.0738,intermediate
2_12_11,939.5186,876.3311,intermediate
2_12_12,941.1021,871.5885,intermediate
2_12_13,942.6857,866.8459,intermediate
2_12_14,944.2692,862.1033,intermediate
2_12_15,945.8527,857.3606,intermediate
2_12_16,947.4362,852.618,intermediate
2_12_17,949.0197,847.8754,intermediate
2_12_18,950.6032,843.1328,intermediate
12_2_1,950.5365,843.3326,intermediate
12_2_2,948.953,848.0752,intermediate
12_2_3,947.3695,852.8179,intermediate
12_2_4,945.786,857.5605,intermediate
12_2_5,944.2024,862.3031,intermediate
12_2_6,942.6189,867.0457,intermediate
12_2_7,941.0354,871.7884,intermediate
12_2_8,939.4519,876.531,intermediate
12_2_9,937.8684,881.2736,intermediate
12_2_10,936.2849,886.0162,intermediate
12_2_11,934.7014,890.7589,intermediate
12_2_12,933.1179,895.5015,intermediate
12_2_13,931.5343,900.2441,intermediate
12_2_14,929.9508,904.9867,intermediate
12_2_15,928.3673,909.7294,intermediate
12_2_16,926.7838,914.472,intermediate
12_2_17,925.2003,919.2146,intermediate
12_2_18,923.6168,923.9572,intermediate
3_13_1,964.0109,919.0239,intermediate
3_13_2,965.2418,914.1778,intermediate
3_13_3,966.4727,909.3316,intermediate
3_13_4,967.7036,904.4855,intermediate
3_13_5,968.9346,899.6394,intermediate
3_13_6,970.1655,894.7933,intermediate
3_13_7,971.3964,889.9472,intermediate
3_13_8,972.6273,885.1011,intermediate
3_13_9,973.8582,880.2549,intermediate
3_13_10,975.0891,875.4088,intermediate
3_13_11,976.32,870.5627,intermediate
3_13_12,977.5509,865.7166,intermediate
3_13_13,978.7818,860.8705,intermediate
3_13_14,980.0128,856.0244,intermediate
3_13_15,981.2437,851.1782,intermediate
13_3_1,980.9191,852.4561,intermediate
13_3_2,979.6882,857.3022,intermediate
13_3_3,978.4573,862.1484,intermediate
13_3_4,977.2264,866.9945,intermediate
13_3_5,975.9954,871.8406,intermediate
13_3_6,974.7645,876.6867,intermediate
13_3_7,973.5336,881.5328,intermediate
13_3_8,972.3027,886.3789,intermediate
13_3_9,971.0718,891.2251,intermediate
13_3_10,969.8409,896.0712,intermediate
13_3_11,968.61,900.9173,intermediate
13_3_12,967.3791,905.7634,intermediate
13_3_13,966.1482,910.6095,intermediate
13_3_14,964.9172,915.4556,intermediate
13_3_15,963.6863,920.3018,intermediate
3_4_1,967.7634,923.4626,intermediate
3_4_2,972.7467,923.0552,intermediate
3_4_3,977.7301,922.6478,intermediate
3_4_4,982.7135,922.2403,intermediate
3_4_5,987.6969,921.8329,intermediate
3_4_6,992.6802,921.4255,intermediate
3_4_7,997.6636,921.0181,intermediate
4_3_1,996.3266,921.1274,intermediate
4_3_2,991.3433,921.5348,intermediate
4_3_3,986.3599,921.9422,intermediate
4_3_4,981.3765,922.3497,intermediate
4_3_5,976.3931,922.7571,intermediate
4_3_6,971.4098,923.1645,intermediate
4_3_7,966.4264,923.5719,intermediate
4_5_1,1001.6797,915.7337,intermediate
4_5_2,1002.0495,910.7474,intermediate
4_5_3,1002.4192,905.7611,intermediate
4_5_4,1002.789,900.7748,intermediate
4_5_5,1003.1587,895.7884,intermediate
4_5_6,1003.5285,890.8021,intermediate
5_4_1,1003.4103,892.3963,intermediate
5_4_2,1003.0405,897.3826,intermediate
5_4_3,1002.6708,902.3689,intermediate
5_4_4,1002.301,907.3552,intermediate
5_4_5,1001.9313,912.3416,intermediate
5_4_6,1001.5615,917.3279,intermediate
5_6_1,1007.3997,883.9606,intermediate
5_6_2,1011.0193,880.5113,intermediate
5_6_3,1014.639,877.0619,intermediate
5_6_4,1018.2586,873.6125,intermediate
6_5_1,1017.5903,874.2494,intermediate
6_5_2,1013.9707,877.6987,intermediate
6_5_3,1010.351,881.1481,intermediate
6_5_4,1006.7314,884.5975,intermediate
6_7_1,1025.8074,868.8344,intermediate
6_7_2,1030.4049,866.8688,intermediate
6_7_3,1035.0023,864.9032,intermediate
6_7_4,1039.5997,862.9376,intermediate
6_7_5,1044.1972,860.972,intermediate
6_7_6,1048.7946,859.0064,intermediate
6_7_7,1053.392,857.0408,intermediate
6_7_8,1057.9895,855.0752,intermediate
6_7_9,1062.5869,853.1096,intermediate
6_7_10,1067.1843,851.144,intermediate
6_7_11,1071.7818,849.1784,intermediate
7_6_1,1068.0226,850.7856,intermediate
7_6_2,1063.4251,852.7512,intermediate
7_6_3,1058.8277,854.7168,intermediate
7_6_4,1054.2303,856.6824,intermediate
7_6_5,1049.6328,858.648,intermediate
7_6_6,1045.0354,860.6136,intermediate
7_6_7,1040.438,862.5792,intermediate
7_6_8,1035.8405,864.5448,intermediate
7_6_9,1031.2431,866.5104,intermediate
7_6_10,1026.6457,868.476,intermediate
7_6_11,1022.0482,870.4416,intermediate
7_8_1,1071.1143,844.0521,intermediate
7_8_2,1069.6086,839.2842,intermediate
7_8_3,1068.1028,834.5163,intermediate
7_8_4,1066.5971,829.7484,intermediate
7_8_5,1065.0914,824.9805,intermediate
7_8_6,1063.5857,820.2126,intermediate
7_8_7,1062.08,815.4447,intermediate
8_7_1,1062.3557,816.3179,intermediate
8_7_2,1063.8614,821.0858,intermediate
8_7_3,1065.3672,825.8537,intermediate
8_7_4,1066.8729,830.6216,intermediate
8_7_5,1068.3786,835.3895,intermediate
8_7_6,1069.8843,840.1574,intermediate
8_7_7,1071.39,844.9253,intermediate
8_17_1,1065.7052,812.7446,intermediate
8_17_2,1070.5604,813.9392,intermediate
8_17_3,1075.4156,815.1338,intermediate
8_17_4,1080.2708,816.3283,intermediate
8_17_5,1085.126,817.5229,intermediate
8_17_6,1089.9812,818.7175,intermediate
8_17_7,1094.8364,819.9121,intermediate
8_17_8,1099.6916,821.1067,intermediate
8_17_9,1104.5468,822.3013,intermediate
8_17_10,1109.402,823.4959,intermediate
8_17_11,1114.2572,824.6905,intermediate
8_17_12,1119.1124,825.885,intermediate
8_17_13,1123.9676,827.0796,intermediate
8_17_14,1128.8228,828.2742,intermediate
17_8_1,1128.0148,828.0754,intermediate
17_8_2,1123.1596,826.8808,intermediate
17_8_3,1118.3044,825.6862,intermediate
17_8_4,1113.4492,824.4917,intermediate
17_8_5,1108.594,823.2971,intermediate
17_8_6,1103.7388,822.1025,intermediate
17_8_7,1098.8836,820.9079,intermediate
17_8_8,1094.0284,819.7133,intermediate
17_8_9,1089.1732,818.5187,intermediate
17_8_10,1084.318,817.3241,intermediate
17_8_11,1079.4628,816.1295,intermediate
17_8_12,1074.6076,814.935,intermediate
17_8_13,1069.7524,813.7404,intermediate
17_8_14,1064.8972,812.5458,intermediate
8_13_1,1056.3044,813.6328,intermediate
8_13_2,1051.7589,815.7155,intermediate
8_13_3,1047.2133,817.7983,intermediate
8_13_4,1042.6678,819.881,intermediate
8_13_5,1038.1222,821.9638,intermediate
8_13_6,1033.5766,824.0465,intermediate
8_13_7,1029.0311,826.1293,intermediate
8_13_8,1024.4855,828.2121,intermediate
8_13_9,1019.94,830.2948,intermediate
8_13_10,1015.3944,832.3776,intermediate
8_13_11,1010.8488,834.4603,intermediate
8_13_12,1006.3033,836.5431,intermediate
8_13_13,1001.7577,838.6258,intermediate
8_13_14,997.2121,840.7086,intermediate
8_13_15,992.6666,842.7913,intermediate
8_13_16,988.121,844.8741,intermediate
8_13_17,983.5755,846.9569,intermediate
13_8_1,986.6956,845.5272,intermediate
13_8_2,991.2411,843.4445,intermediate
13_8_3,995.7867,841.3617,intermediate
13_8_4,1000.3322,839.279,intermediate
13_8_5,1004.8778,837.1962,intermediate
13_8_6,1009.4234,835.1135,intermediate
13_8_7,1013.9689,833.0307,intermediate
13_8_8,1018.5145,830.9479,intermediate
13_8_9,1023.06,828.8652,intermediate
13_8_10,1027.6056,826.7824,intermediate
13_8_11,1032.1512,824.6997,intermediate
13_8_12,1036.6967,822.6169,intermediate
13_8_13,1041.2423,820.5342,intermediate
13_8_14,1045.7879,818.4514,intermediate
13_8_15,1050.3334,816.3687,intermediate
13_8_16,1054.879,814.2859,intermediate
13_8_17,1059.4245,812.2031,intermediate
8_15_1,1059.5954,806.71,intermediate
8_15_2,1058.3408,801.8699,intermediate
8_15_3,1057.0862,797.0299,intermediate
8_15_4,1055.8316,792.1898,intermediate
15_8_1,1055.9846,792.78,intermediate
15_8_2,1057.2392,797.6201,intermediate
15_8_3,1058.4938,802.4601,intermediate
15_8_4,1059.7484,807.3002,intermediate
9_10_1,846.9061,779.5098,intermediate
9_10_2,851.7421,780.7797,intermediate
9_10_3,856.5782,782.0495,intermediate
9_10_4,861.4143,783.3193,intermediate
9_10_5,866.2503,784.5892,intermediate
9_10_6,871.0864,785.859,intermediate
9_10_7,875.9225,787.1288,intermediate
9_10_8,880.7585,788.3987,intermediate
9_10_9,885.5946,789.6685,intermediate
9_10_10,890.4306,790.9383,intermediate
9_10_11,895.2667,792.2082,intermediate
10_9_1,893.2939,791.6902,intermediate
10_9_2,888.4579,790.4203,intermediate
10_9_3,883.6218,789.1505,intermediate
10_9_4,878.7857,787.8807,intermediate
10_9_5,873.9497,786.6108,intermediate
10_9_6,869.1136,785.341,intermediate
10_9_7,864.2775,784.0712,intermediate
10_9_8,859.4415,782.8013,intermediate
10_9_9,854.6054,781.5315,intermediate
10_9_10,849.7694,780.2617,intermediate
10_9_11,844.9333,778.9918,intermediate
10_11_1,902.9997,794.0941,intermediate
10_11_2,907.8694,795.2281,intermediate
10_11_3,912.7391,796.3622,intermediate
10_11_4,917.6088,797.4962,intermediate
10_11_5,922.4785,798.6303,intermediate
10_11_6,927.3482,799.7644,intermediate
10_11_7,932.2179,800.8984,intermediate
10_11_8,937.0875,802.0325,intermediate
10_11_9,941.9572,803.1665,intermediate
10_11_10,946.8269,804.3006,intermediate
10_11_11,951.6966,805.4347,intermediate
10_11_12,956.5663,806.5687,intermediate
11_10_1,955.1803,806.2459,intermediate
11_10_2,950.3106,805.1119,intermediate
11_10_3,945.4409,803.9778,intermediate
11_10_4,940.5712,802.8438,intermediate
11_10_5,935.7015,801.7097,intermediate
11_10_6,930.8318,800.5756,intermediate
11_10_7,925.9621,799.4416,intermediate
11_10_8,921.0925,798.3075,intermediate
11_10_9,916.2228,797.1735,intermediate
11_10_10,911.3531,796.0394,intermediate
11_10_11,906.4834,794.9053,intermediate
11_10_12,901.6137,793.7713,intermediate
11_14_1,964.979,806.5402,intermediate
11_14_2,969.908,805.7005,intermediate
11_14_3,974.8369,804.8607,intermediate
11_14_4,979.7659,804.021,intermediate
11_14_5,984.6949,803.1812,intermediate
11_14_6,989.6239,802.3415,intermediate
11_14_7,994.5528,801.5017,intermediate
11_14_8,999.4818,800.6619,intermediate
11_14_9,1004.4108,799.8222,intermediate
11_14_10,1009.3398,798.9824,intermediate
14_11_1,1008.651,799.0998,intermediate
14_11_2,1003.722,799.9395,intermediate
14_11_3,998.7931,800.7793,intermediate
14_11_4,993.8641,801.619,intermediate
14_11_5,988.9351,802.4588,intermediate
14_11_6,984.0061,803.2985,intermediate
14_11_7,979.0772,804.1383,intermediate
14_11_8,974.1482,804.9781,intermediate
14_11_9,969.2192,805.8178,intermediate
14_11_10,964.2902,806.6576,intermediate
11_12_1,958.8187,812.226,intermediate
11_12_2,957.5874,817.072,intermediate
11_12_3,956.3561,821.9181,intermediate
11_12_4,955.1248,826.7641,intermediate
11_12_5,953.8935,831.6101,intermediate
11_12_6,952.6622,836.4561,intermediate
12_11_1,953.3513,833.744,intermediate
12_11_2,954.5826,828.898,intermediate
12_11_3,955.8139,824.0519,intermediate
12_11_4,957.0452,819.2059,intermediate
12_11_5,958.2765,814.3599,intermediate
12_11_6,959.5078,809.5139,intermediate
14_15_1,1018.4298,797.0437,intermediate
14_15_2,1023.2796,795.8274,intermediate
14_15_3,1028.1294,794.6112,intermediate
14_15_4,1032.9792,793.3949,intermediate
14_15_5,1037.829,792.1786,intermediate
14_15_6,1042.6789,790.9623,intermediate
14_15_7,1047.5287,789.746,intermediate
14_15_8,1052.3785,788.5297,intermediate
15_14_1,1049.8802,789.1563,intermediate
15_14_2,1045.0304,790.3726,intermediate
15_14_3,1040.1806,791.5888,intermediate
15_14_4,1035.3308,792.8051,intermediate
15_14_5,1030.481,794.0214,intermediate
15_14_6,1025.6311,795.2377,intermediate
