ID,x,y,type
0,3502533.49,13577244.02,original
1,3502526.46,13577405.42,original
2,3502517.67,13577628.58,original
3,3502523.82,13577853.89,original
4,3502233.93,13577229.47,original
5,3502175.94,13577231.61,original
6,3502304.22,13577420.44,original
7,3502182.97,13577433.32,original
8,3502382.09,13577592.07,original
9,3502183.52,13577593.15,original
10,3502190.55,13577851.71,original
11,3502473.9,13577412.81,original
12,3502282.37,13577595.2,original
13,3502275.34,13577520.1,original
14,3502523.11,13577550.14,original
15,3502475.66,13577547.99,original
16,3502190.99,13577535.12,original
17,3502336.84,13577487.91,original
18,3502479.18,13577483.62,original
19,3502352.66,13577543.7,original
20,3502277.16,13577557.48,original
21,3502450.24,13577465.21,original
22,3502452.0,13577488.81,original
23,3502475.83,13577469.66,original
24,3502476.71,13577510.7,original
25,3502451.67,13577507.75,original
26,3502408.4,13577504.26,original
27,3502409.5,13577485.49,original
28,3502451.45,13577542.62,original
29,3502440.91,13577544.76,original
30,3502441.35,13577580.17,original
31,3502467.49,13577581.78,original
32,3502390.78,13577484.02,original
33,3502391.22,13577541.42,original
34,3502468.87,13577695.12,original
35,3502438.99,13577699.41,original
36,3502418.79,13577648.99,original
37,3502465.13,13577640.67,original
0_1_1,3502533.2724,13577249.0153,intermediate
0_1_2,3502533.0548,13577254.0105,intermediate
0_1_3,3502532.8373,13577259.0058,intermediate
0_1_4,3502532.6197,13577264.0011,intermediate
0_1_5,3502532.4021,13577268.9963,intermediate
0_1_6,3502532.1845,13577273.9916,intermediate
0_1_7,3502531.967,13577278.9868,intermediate
0_1_8,3502531.7494,13577283.9821,intermediate
0_1_9,3502531.5318,13577288.9774,intermediate
0_1_10,3502531.3142,13577293.9726,intermediate
0_1_11,3502531.0967,13577298.9679,intermediate
0_1_12,3502530.8791,13577303.9632,intermediate
0_1_13,3502530.6615,13577308.9584,intermediate
0_1_14,3502530.4439,13577313.9537,intermediate
0_1_15,3502530.2264,13577318.949,intermediate
0_1_16,3502530.0088,13577323.9442,intermediate
0_1_17,3502529.7912,13577328.9395,intermediate
0_1_18,3502529.5736,13577333.9347,intermediate
0_1_19,3502529.3561,13577338.93,intermediate
0_1_20,3502529.1385,13577343.9253,intermediate
0_1_21,3502528.9209,13577348.9205,intermediate
0_1_22,3502528.7033,13577353.9158,intermediate
0_1_23,3502528.4858,13577358.9111,intermediate
0_1_24,3502528.2682,13577363.9063,intermediate
0_1_25,3502528.0506,13577368.9016,intermediate
0_1_26,3502527.833,13577373.8969,intermediate
0_1_27,3502527.6155,13577378.8921,intermediate
0_1_28,3502527.3979,13577383.8874,intermediate
0_1_29,3502527.1803,13577388.8827,intermediate
0_1_30,3502526.9627,13577393.8779,intermediate
0_1_31,3502526.7452,13577398.8732,intermediate
0_1_32,3502526.5276,13577403.8684,intermediate
1_0_1,3502526.6776,13577400.4247,intermediate
1_0_2,3502526.8952,13577395.4295,intermediate
1_0_3,3502527.1127,13577390.4342,intermediate
1_0_4,3502527.3303,13577385.4389,intermediate
1_0_5,3502527.5479,13577380.4437,intermediate
1_0_6,3502527.7655,13577375.4484,intermediate
1_0_7,3502527.983,13577370.4532,intermediate
1_0_8,3502528.2006,13577365.4579,intermediate
1_0_9,3502528.4182,13577360.4626,intermediate
1_0_10,3502528.6358,13577355.4674,intermediate
1_0_11,3502528.8533,13577350.4721,intermediate
1_0_12,3502529.0709,13577345.4768,intermediate
1_0_13,3502529.2885,13577340.4816,intermediate
1_0_14,3502529.5061,13577335.4863,intermediate
1_0_15,3502529.7236,13577330.491,intermediate
1_0_16,3502529.9412,13577325.4958,intermediate
1_0_17,3502530.1588,13577320.5005,intermediate
1_0_18,3502530.3764,13577315.5053,intermediate
1_0_19,3502530.5939,13577310.51,intermediate
1_0_20,3502530.8115,13577305.5147,intermediate
1_0_21,3502531.0291,13577300.5195,intermediate
1_0_22,3502531.2467,13577295.5242,intermediate
1_0_23,3502531.4642,13577290.5289,intermediate
1_0_24,3502531.6818,13577285.5337,intermediate
1_0_25,3502531.8994,13577280.5384,intermediate
1_0_26,3502532.117,13577275.5431,intermediate
1_0_27,3502532.3345,13577270.5479,intermediate
1_0_28,3502532.5521,13577265.5526,intermediate
1_0_29,3502532.7697,13577260.5573,intermediate
1_0_30,3502532.9873,13577255.5621,intermediate
1_0_31,3502533.2048,13577250.5668,intermediate
1_0_32,3502533.4224,13577245.5716,intermediate
0_4_1,3502528.4959,13577243.7774,intermediate
0_4_2,3502523.5018,13577243.5349,intermediate
0_4_3,3502518.5077,13577243.2923,intermediate
0_4_4,3502513.5135,13577243.0497,intermediate
0_4_5,3502508.5194,13577242.8071,intermediate
0_4_6,3502503.5253,13577242.5646,intermediate
0_4_7,3502498.5312,13577242.322,intermediate
0_4_8,3502493.5371,13577242.0794,intermediate
0_4_9,3502488.543,13577241.8369,intermediate
0_4_10,3502483.5489,13577241.5943,intermediate
0_4_11,3502478.5548,13577241.3517,intermediate
0_4_12,3502473.5606,13577241.1092,intermediate
0_4_13,3502468.5665,13577240.8666,intermediate
0_4_14,3502463.5724,13577240.624,intermediate
0_4_15,3502458.5783,13577240.3814,intermediate
0_4_16,3502453.5842,13577240.1389,intermediate
0_4_17,3502448.5901,13577239.8963,intermediate
0_4_18,3502443.596,13577239.6537,intermediate
0_4_19,3502438.6019,13577239.4112,intermediate
0_4_20,3502433.6077,13577239.1686,intermediate
0_4_21,3502428.6136,13577238.926,intermediate
0_4_22,3502423.6195,13577238.6835,intermediate
0_4_23,3502418.6254,13577238.4409,intermediate
0_4_24,3502413.6313,13577238.1983,intermediate
0_4_25,3502408.6372,13577237.9557,intermediate
0_4_26,3502403.6431,13577237.7132,intermediate
0_4_27,3502398.649,13577237.4706,intermediate
0_4_28,3502393.6548,13577237.228,intermediate
0_4_29,3502388.6607,13577236.9855,intermediate
0_4_30,3502383.6666,13577236.7429,intermediate
0_4_31,3502378.6725,13577236.5003,intermediate
0_4_32,3502373.6784,13577236.2578,intermediate
0_4_33,3502368.6843,13577236.0152,intermediate
0_4_34,3502363.6902,13577235.7726,intermediate
0_4_35,3502358.6961,13577235.53,intermediate
0_4_36,3502353.7019,13577235.2875,intermediate
0_4_37,3502348.7078,13577235.0449,intermediate
0_4_38,3502343.7137,13577234.8023,intermediate
0_4_39,3502338.7196,13577234.5598,intermediate
0_4_40,3502333.7255,13577234.3172,intermediate
0_4_41,3502328.7314,13577234.0746,intermediate
0_4_42,3502323.7373,13577233.8321,intermediate
0_4_43,3502318.7432,13577233.5895,intermediate
0_4_44,3502313.749,13577233.3469,intermediate
0_4_45,3502308.7549,13577233.1043,intermediate
0_4_46,3502303.7608,13577232.8618,intermediate
0_4_47,3502298.7667,13577232.6192,intermediate
0_4_48,3502293.7726,13577232.3766,intermediate
0_4_49,3502288.7785,13577232.1341,intermediate
0_4_50,3502283.7844,13577231.8915,intermediate
0_4_51,3502278.7903,13577231.6489,intermediate
0_4_52,3502273.7961,13577231.4063,intermediate
0_4_53,3502268.802,13577231.1638,intermediate
0_4_54,3502263.8079,13577230.9212,intermediate
0_4_55,3502258.8138,13577230.6786,intermediate
0_4_56,3502253.8197,13577230.4361,intermediate
0_4_57,3502248.8256,13577230.1935,intermediate
0_4_58,3502243.8315,13577229.9509,intermediate
0_4_59,3502238.8374,13577229.7084,intermediate
4_0_1,3502238.9241,13577229.7126,intermediate
4_0_2,3502243.9182,13577229.9551,intermediate
4_0_3,3502248.9123,13577230.1977,intermediate
4_0_4,3502253.9065,13577230.4403,intermediate
4_0_5,3502258.9006,13577230.6829,intermediate
4_0_6,3502263.8947,13577230.9254,intermediate
4_0_7,3502268.8888,13577231.168,intermediate
4_0_8,3502273.8829,13577231.4106,intermediate
4_0_9,3502278.877,13577231.6531,intermediate
4_0_10,3502283.8711,13577231.8957,intermediate
4_0_11,3502288.8652,13577232.1383,intermediate
4_0_12,3502293.8594,13577232.3808,intermediate
4_0_13,3502298.8535,13577232.6234,intermediate
4_0_14,3502303.8476,13577232.866,intermediate
4_0_15,3502308.8417,13577233.1086,intermediate
4_0_16,3502313.8358,13577233.3511,intermediate
4_0_17,3502318.8299,13577233.5937,intermediate
4_0_18,3502323.824,13577233.8363,intermediate
4_0_19,3502328.8181,13577234.0788,intermediate
4_0_20,3502333.8123,13577234.3214,intermediate
4_0_21,3502338.8064,13577234.564,intermediate
4_0_22,3502343.8005,13577234.8065,intermediate
4_0_23,3502348.7946,13577235.0491,intermediate
4_0_24,3502353.7887,13577235.2917,intermediate
4_0_25,3502358.7828,13577235.5343,intermediate
4_0_26,3502363.7769,13577235.7768,intermediate
4_0_27,3502368.771,13577236.0194,intermediate
4_0_28,3502373.7652,13577236.262,intermediate
