ID,x,y,type
0,13549755.66,3469238.97,original
1,13549774.97,3469154.28,original
2,13549783.56,3469069.59,original
3,13549789.99,3469036.07,original
4,13549798.58,3468991.96,original
5,13549809.31,3468917.86,original
6,13549820.03,3468836.7,original
7,13549824.33,3468778.48,original
8,13549873.68,3469251.32,original
9,13549880.12,3469156.05,original
10,13549877.97,3469071.36,original
11,13549877.97,3469037.84,original
12,13549873.68,3468995.49,original
13,13549882.26,3468917.86,original
14,13549880.12,3468841.99,original
15,13549888.7,3468776.71,original
16,13549989.55,3469267.2,original
17,13549972.38,3469152.52,original
18,13549974.53,3469080.18,original
19,13549972.38,3469034.31,original
20,13549970.24,3468995.49,original
21,13549972.38,3468919.63,original
22,13549974.53,3468850.81,original
23,13549976.68,3468774.95,original
24,13550083.96,3469254.85,original
25,13550083.96,3469156.05,original
26,13550081.82,3469071.36,original
27,13550077.53,3469034.31,original
28,13550081.82,3468999.02,original
29,13550081.82,3468923.15,original
30,13550073.23,3468856.11,original
31,13550077.53,3468774.95,original
0_1_1,13549756.7715,3469234.0951,intermediate
0_1_2,13549757.883,3469229.2202,intermediate
0_1_3,13549758.9945,3469224.3453,intermediate
0_1_4,13549760.1061,3469219.4704,intermediate
0_1_5,13549761.2176,3469214.5956,intermediate
0_1_6,13549762.3291,3469209.7207,intermediate
0_1_7,13549763.4406,3469204.8458,intermediate
0_1_8,13549764.5521,3469199.9709,intermediate
0_1_9,13549765.6636,3469195.096,intermediate
0_1_10,13549766.7751,3469190.2211,intermediate
0_1_11,13549767.8867,3469185.3462,intermediate
0_1_12,13549768.9982,3469180.4713,intermediate
0_1_13,13549770.1097,3469175.5965,intermediate
0_1_14,13549771.2212,3469170.7216,intermediate
0_1_15,13549772.3327,3469165.8467,intermediate
0_1_16,13549773.4442,3469160.9718,intermediate
0_1_17,13549774.5557,3469156.0969,intermediate
1_0_1,13549773.8585,3469159.1549,intermediate
1_0_2,13549772.747,3469164.0298,intermediate
1_0_3,13549771.6355,3469168.9047,intermediate
1_0_4,13549770.5239,3469173.7796,intermediate
1_0_5,13549769.4124,3469178.6544,intermediate
1_0_6,13549768.3009,3469183.5293,intermediate
1_0_7,13549767.1894,3469188.4042,intermediate
1_0_8,13549766.0779,3469193.2791,intermediate
1_0_9,13549764.9664,3469198.154,intermediate
1_0_10,13549763.8549,3469203.0289,intermediate
1_0_11,13549762.7433,3469207.9038,intermediate
1_0_12,13549761.6318,3469212.7787,intermediate
1_0_13,13549760.5203,3469217.6535,intermediate
1_0_14,13549759.4088,3469222.5284,intermediate
1_0_15,13549758.2973,3469227.4033,intermediate
1_0_16,13549757.1858,3469232.2782,intermediate
1_0_17,13549756.0743,3469237.1531,intermediate
0_8_1,13549760.6328,3469239.4904,intermediate
0_8_2,13549765.6057,3469240.0108,intermediate
0_8_3,13549770.5785,3469240.5311,intermediate
0_8_4,13549775.5514,3469241.0515,intermediate
0_8_5,13549780.5242,3469241.5719,intermediate
0_8_6,13549785.4971,3469242.0923,intermediate
0_8_7,13549790.4699,3469242.6126,intermediate
0_8_8,13549795.4428,3469243.133,intermediate
0_8_9,13549800.4156,3469243.6534,intermediate
0_8_10,13549805.3885,3469244.1738,intermediate
0_8_11,13549810.3613,3469244.6941,intermediate
0_8_12,13549815.3342,3469245.2145,intermediate
0_8_13,13549820.307,3469245.7349,intermediate
0_8_14,13549825.2799,3469246.2553,intermediate
0_8_15,13549830.2527,3469246.7756,intermediate
0_8_16,13549835.2256,3469247.296,intermediate
0_8_17,13549840.1984,3469247.8164,intermediate
0_8_18,13549845.1713,3469248.3368,intermediate
0_8_19,13549850.1441,3469248.8571,intermediate
0_8_20,13549855.1169,3469249.3775,intermediate
0_8_21,13549860.0898,3469249.8979,intermediate
0_8_22,13549865.0626,3469250.4183,intermediate
0_8_23,13549870.0355,3469250.9386,intermediate
8_0_1,13549868.7072,3469250.7996,intermediate
8_0_2,13549863.7343,3469250.2792,intermediate
8_0_3,13549858.7615,3469249.7589,intermediate
8_0_4,13549853.7886,3469249.2385,intermediate
8_0_5,13549848.8158,3469248.7181,intermediate
8_0_6,13549843.8429,3469248.1977,intermediate
8_0_7,13549838.8701,3469247.6774,intermediate
8_0_8,13549833.8972,3469247.157,intermediate
8_0_9,13549828.9244,3469246.6366,intermediate
8_0_10,13549823.9515,3469246.1162,intermediate
8_0_11,13549818.9787,3469245.5959,intermediate
8_0_12,13549814.0058,3469245.0755,intermediate
8_0_13,13549809.033,3469244.5551,intermediate
8_0_14,13549804.0601,3469244.0347,intermediate
8_0_15,13549799.0873,3469243.5144,intermediate
8_0_16,13549794.1144,3469242.994,intermediate
8_0_17,13549789.1416,3469242.4736,intermediate
8_0_18,13549784.1687,3469241.9532,intermediate
8_0_19,13549779.1959,3469241.4329,intermediate
8_0_20,13549774.2231,3469240.9125,intermediate
8_0_21,13549769.2502,3469240.3921,intermediate
8_0_22,13549764.2774,3469239.8717,intermediate
8_0_23,13549759.3045,3469239.3514,intermediate
1_2_1,13549775.4746,3469149.3055,intermediate
1_2_2,13549775.9791,3469144.331,intermediate
1_2_3,13549776.4837,3469139.3566,intermediate
1_2_4,13549776.9882,3469134.3821,intermediate
1_2_5,13549777.4928,3469129.4076,intermediate
1_2_6,13549777.9973,3469124.4331,intermediate
1_2_7,13549778.5019,3469119.4587,intermediate
1_2_8,13549779.0064,3469114.4842,intermediate
1_2_9,13549779.511,3469109.5097,intermediate
1_2_10,13549780.0155,3469104.5352,intermediate
1_2_11,13549780.5201,3469099.5607,intermediate
1_2_12,13549781.0247,3469094.5863,intermediate
1_2_13,13549781.5292,3469089.6118,intermediate
1_2_14,13549782.0338,3469084.6373,intermediate
1_2_15,13549782.5383,3469079.6628,intermediate
1_2_16,13549783.0429,3469074.6884,intermediate
1_2_17,13549783.5474,3469069.7139,intermediate
2_1_1,13549783.0554,3469074.5645,intermediate
2_1_2,13549782.5509,3469079.539,intermediate
2_1_3,13549782.0463,3469084.5134,intermediate
2_1_4,13549781.5418,3469089.4879,intermediate
2_1_5,13549781.0372,3469094.4624,intermediate
2_1_6,13549780.5327,3469099.4369,intermediate
2_1_7,13549780.0281,3469104.4113,intermediate
2_1_8,13549779.5236,3469109.3858,intermediate
2_1_9,13549779.019,3469114.3603,intermediate
2_1_10,13549778.5145,3469119.3348,intermediate
2_1_11,13549778.0099,3469124.3093,intermediate
2_1_12,13549777.5053,3469129.2837,intermediate
2_1_13,13549777.0008,3469134.2582,intermediate
2_1_14,13549776.4962,3469139.2327,intermediate
2_1_15,13549775.9917,3469144.2072,intermediate
2_1_16,13549775.4871,3469149.1816,intermediate
2_1_17,13549774.9826,3469154.1561,intermediate
1_9_1,13549779.9693,3469154.3642,intermediate
1_9_2,13549784.9686,3469154.4483,intermediate
1_9_3,13549789.9679,3469154.5325,intermediate
1_9_4,13549794.9672,3469154.6166,intermediate
1_9_5,13549799.9665,3469154.7008,intermediate
1_9_6,13549804.9658,3469154.7849,intermediate
1_9_7,13549809.965,3469154.8691,intermediate
1_9_8,13549814.9643,3469154.9532,intermediate
1_9_9,13549819.9636,3469155.0374,intermediate
1_9_10,13549824.9629,3469155.1215,intermediate
1_9_11,13549829.9622,3469155.2057,intermediate
1_9_12,13549834.9615,3469155.2898,intermediate
1_9_13,13549839.9608,3469155.374,intermediate
1_9_14,13549844.9601,3469155.4581,intermediate
1_9_15,13549849.9594,3469155.5423,intermediate
1_9_16,13549854.9587,3469155.6265,intermediate
1_9_17,13549859.958,3469155.7106,intermediate
1_9_18,13549864.9573,3469155.7948,intermediate
1_9_19,13549869.9565,3469155.8789,intermediate
1_9_20,13549874.9558,3469155.9631,intermediate
1_9_21,13549879.9551,3469156.0472,intermediate
9_1_1,13549875.1207,3469155.9658,intermediate
9_1_2,13549870.1214,3469155.8817,intermediate
9_1_3,13549865.1221,3469155.7975,intermediate
9_1_4,13549860.1228,3469155.7134,intermediate
9_1_5,13549855.1235,3469155.6292,intermediate
9_1_6,13549850.1242,3469155.5451,intermediate
9_1_7,13549845.125,3469155.4609,intermediate
9_1_8,13549840.1257,3469155.3768,intermediate
9_1_9,13549835.1264,3469155.2926,intermediate
9_1_10,13549830.1271,3469155.2085,intermediate
9_1_11,13549825.1278,3469155.1243,intermediate
9_1_12,13549820.1285,3469155.0402,intermediate
9_1_13,13549815.1292,3469154.956,intermediate
9_1_14,13549810.1299,3469154.8719,intermediate
9_1_15,13549805.1306,3469154.7877,intermediate
9_1_16,13549800.1313,3469154.7035,intermediate
9_1_17,13549795.132,3469154.6194,intermediate
9_1_18,13549790.1327,3469154.5352,intermediate
9_1_19,13549785.1335,3469154.4511,intermediate
9_1_20,13549780.1342,3469154.3669,intermediate
9_1_21,13549775.1349,3469154.2828,intermediate
2_3_1,13549784.502,3469064.6795,intermediate
2_3_2,13549785.4439,3469059.7691,intermediate
2_3_3,13549786.3859,3469054.8586,intermediate
2_3_4,13549787.3278,3469049.9481,intermediate
2_3_5,13549788.2698,3469045.0376,intermediate
2_3_6,13549789.2117,3469040.1272,intermediate
3_2_1,13549789.048,3469040.9805,intermediate
3_2_2,13549788.1061,3469045.8909,intermediate
3_2_3,13549787.1641,3469050.8014,intermediate
3_2_4,13549786.2222,3469055.7119,intermediate
3_2_5,13549785.2802,3469060.6224,intermediate
3_2_6,13549784.3383,3469065.5328,intermediate
2_10_1,13549788.5591,3469069.6837,intermediate
2_10_2,13549793.5582,3469069.7774,intermediate
2_10_3,13549798.5574,3469069.8712,intermediate
2_10_4,13549803.5565,3469069.9649,intermediate
2_10_5,13549808.5556,3469070.0586,intermediate
2_10_6,13549813.5547,3469070.1523,intermediate
2_10_7,13549818.5539,3469070.2461,intermediate
2_10_8,13549823.553,3469070.3398,intermediate
2_10_9,13549828.5521,3469070.4335,intermediate
2_10_10,13549833.5512,3469070.5272,intermediate
2_10_11,13549838.5503,3469070.621,intermediate
2_10_12,13549843.5495,3469070.7147,intermediate
2_10_13,13549848.5486,3469070.8084,intermediate
2_10_14,13549853.5477,3469070.9021,intermediate
2_10_15,13549858.5468,3469070.9959,intermediate
2_10_16,13549863.5459,3469071.0896,intermediate
2_10_17,13549868.5451,3469071.1833,intermediate
2_10_18,13549873.5442,3469071.277,intermediate
10_2_1,13549872.9709,3469071.2663,intermediate
10_2_2,13549867.9718,3469071.1726,intermediate
10_2_3,13549862.9726,3469071.0788,intermediate
10_2_4,13549857.9735,3469070.9851,intermediate
10_2_5,13549852.9744,3469070.8914,intermediate
10_2_6,13549847.9753,3469070.7977,intermediate
10_2_7,13549842.9761,3469070.7039,intermediate
10_2_8,13549837.977,3469070.6102,intermediate
10_2_9,13549832.9779,3469070.5165,intermediate
10_2_10,13549827.9788,3469070.4228,intermediate
