ID,x,y,type
0,229536.22,4887353.74,original
1,229718.02,4887313.24,original
2,229728.75,4887395.1,original
3,229851.05,4887412.03,original
4,229945.47,4887238.44,original
5,230009.84,4887321.71,original
6,229969.07,4887423.32,original
7,230110.69,4887448.73,original
8,230059.19,4887380.98,original
9,230102.11,4887301.95,original
10,230172.92,4887338.64,original
11,230110.69,4887196.1,original
12,230284.5,4887303.36,original
13,230348.87,4887364.05,original
14,230230.86,4887454.37,original
15,230539.85,4887474.13,original
0_1_1,229541.1004,4887352.6528,intermediate
0_1_2,229545.9807,4887351.5656,intermediate
0_1_3,229550.8611,4887350.4784,intermediate
0_1_4,229555.7415,4887349.3912,intermediate
0_1_5,229560.6218,4887348.3039,intermediate
0_1_6,229565.5022,4887347.2167,intermediate
0_1_7,229570.3826,4887346.1295,intermediate
0_1_8,229575.2629,4887345.0423,intermediate
0_1_9,229580.1433,4887343.9551,intermediate
0_1_10,229585.0237,4887342.8679,intermediate
0_1_11,229589.904,4887341.7807,intermediate
0_1_12,229594.7844,4887340.6935,intermediate
0_1_13,229599.6648,4887339.6063,intermediate
0_1_14,229604.5451,4887338.5191,intermediate
0_1_15,229609.4255,4887337.4318,intermediate
0_1_16,229614.3059,4887336.3446,intermediate
0_1_17,229619.1862,4887335.2574,intermediate
0_1_18,229624.0666,4887334.1702,intermediate
0_1_19,229628.947,4887333.083,intermediate
0_1_20,229633.8273,4887331.9958,intermediate
0_1_21,229638.7077,4887330.9086,intermediate
0_1_22,229643.5881,4887329.8214,intermediate
0_1_23,229648.4684,4887328.7342,intermediate
0_1_24,229653.3488,4887327.647,intermediate
0_1_25,229658.2292,4887326.5597,intermediate
0_1_26,229663.1095,4887325.4725,intermediate
0_1_27,229667.9899,4887324.3853,intermediate
0_1_28,229672.8703,4887323.2981,intermediate
0_1_29,229677.7506,4887322.2109,intermediate
0_1_30,229682.631,4887321.1237,intermediate
0_1_31,229687.5114,4887320.0365,intermediate
0_1_32,229692.3917,4887318.9493,intermediate
0_1_33,229697.2721,4887317.8621,intermediate
0_1_34,229702.1524,4887316.7749,intermediate
0_1_35,229707.0328,4887315.6876,intermediate
0_1_36,229711.9132,4887314.6004,intermediate
0_1_37,229716.7935,4887313.5132,intermediate
1_0_1,229713.1396,4887314.3272,intermediate
1_0_2,229708.2593,4887315.4144,intermediate
1_0_3,229703.3789,4887316.5016,intermediate
1_0_4,229698.4985,4887317.5888,intermediate
1_0_5,229693.6182,4887318.6761,intermediate
1_0_6,229688.7378,4887319.7633,intermediate
1_0_7,229683.8574,4887320.8505,intermediate
1_0_8,229678.9771,4887321.9377,intermediate
1_0_9,229674.0967,4887323.0249,intermediate
1_0_10,229669.2163,4887324.1121,intermediate
1_0_11,229664.336,4887325.1993,intermediate
1_0_12,229659.4556,4887326.2865,intermediate
1_0_13,229654.5752,4887327.3737,intermediate
1_0_14,229649.6949,4887328.4609,intermediate
1_0_15,229644.8145,4887329.5482,intermediate
1_0_16,229639.9341,4887330.6354,intermediate
1_0_17,229635.0538,4887331.7226,intermediate
1_0_18,229630.1734,4887332.8098,intermediate
1_0_19,229625.293,4887333.897,intermediate
1_0_20,229620.4127,4887334.9842,intermediate
1_0_21,229615.5323,4887336.0714,intermediate
1_0_22,229610.6519,4887337.1586,intermediate
1_0_23,229605.7716,4887338.2458,intermediate
1_0_24,229600.8912,4887339.333,intermediate
1_0_25,229596.0108,4887340.4203,intermediate
1_0_26,229591.1305,4887341.5075,intermediate
1_0_27,229586.2501,4887342.5947,intermediate
1_0_28,229581.3697,4887343.6819,intermediate
1_0_29,229576.4894,4887344.7691,intermediate
1_0_30,229571.609,4887345.8563,intermediate
1_0_31,229566.7286,4887346.9435,intermediate
1_0_32,229561.8483,4887348.0307,intermediate
1_0_33,229556.9679,4887349.1179,intermediate
1_0_34,229552.0876,4887350.2051,intermediate
1_0_35,229547.2072,4887351.2924,intermediate
1_0_36,229542.3268,4887352.3796,intermediate
1_0_37,229537.4465,4887353.4668,intermediate
0_2_1,229541.1085,4887354.7902,intermediate
0_2_2,229545.9969,4887355.8403,intermediate
0_2_3,229550.8854,4887356.8905,intermediate
0_2_4,229555.7739,4887357.9406,intermediate
0_2_5,229560.6624,4887358.9908,intermediate
0_2_6,229565.5508,4887360.041,intermediate
0_2_7,229570.4393,4887361.0911,intermediate
0_2_8,229575.3278,4887362.1413,intermediate
0_2_9,229580.2163,4887363.1914,intermediate
0_2_10,229585.1047,4887364.2416,intermediate
0_2_11,229589.9932,4887365.2918,intermediate
0_2_12,229594.8817,4887366.3419,intermediate
0_2_13,229599.7701,4887367.3921,intermediate
0_2_14,229604.6586,4887368.4422,intermediate
0_2_15,229609.5471,4887369.4924,intermediate
0_2_16,229614.4356,4887370.5426,intermediate
0_2_17,229619.324,4887371.5927,intermediate
0_2_18,229624.2125,4887372.6429,intermediate
0_2_19,229629.101,4887373.693,intermediate
0_2_20,229633.9895,4887374.7432,intermediate
0_2_21,229638.8779,4887375.7934,intermediate
0_2_22,229643.7664,4887376.8435,intermediate
0_2_23,229648.6549,4887377.8937,intermediate
0_2_24,229653.5433,4887378.9438,intermediate
0_2_25,229658.4318,4887379.994,intermediate
0_2_26,229663.3203,4887381.0441,intermediate
0_2_27,229668.2088,4887382.0943,intermediate
0_2_28,229673.0972,4887383.1445,intermediate
0_2_29,229677.9857,4887384.1946,intermediate
0_2_30,229682.8742,4887385.2448,intermediate
0_2_31,229687.7627,4887386.2949,intermediate
0_2_32,229692.6511,4887387.3451,intermediate
0_2_33,229697.5396,4887388.3953,intermediate
0_2_34,229702.4281,4887389.4454,intermediate
0_2_35,229707.3165,4887390.4956,intermediate
0_2_36,229712.205,4887391.5457,intermediate
0_2_37,229717.0935,4887392.5959,intermediate
0_2_38,229721.982,4887393.6461,intermediate
0_2_39,229726.8704,4887394.6962,intermediate
2_0_1,229723.8615,4887394.0498,intermediate
2_0_2,229718.9731,4887392.9997,intermediate
2_0_3,229714.0846,4887391.9495,intermediate
2_0_4,229709.1961,4887390.8994,intermediate
2_0_5,229704.3076,4887389.8492,intermediate
2_0_6,229699.4192,4887388.799,intermediate
2_0_7,229694.5307,4887387.7489,intermediate
2_0_8,229689.6422,4887386.6987,intermediate
2_0_9,229684.7537,4887385.6486,intermediate
2_0_10,229679.8653,4887384.5984,intermediate
2_0_11,229674.9768,4887383.5482,intermediate
2_0_12,229670.0883,4887382.4981,intermediate
2_0_13,229665.1999,4887381.4479,intermediate
2_0_14,229660.3114,4887380.3978,intermediate
2_0_15,229655.4229,4887379.3476,intermediate
2_0_16,229650.5344,4887378.2974,intermediate
2_0_17,229645.646,4887377.2473,intermediate
2_0_18,229640.7575,4887376.1971,intermediate
2_0_19,229635.869,4887375.147,intermediate
2_0_20,229630.9805,4887374.0968,intermediate
2_0_21,229626.0921,4887373.0466,intermediate
2_0_22,229621.2036,4887371.9965,intermediate
2_0_23,229616.3151,4887370.9463,intermediate
2_0_24,229611.4267,4887369.8962,intermediate
2_0_25,229606.5382,4887368.846,intermediate
