ID,x,y,type
0,0.0,394.77,original
1,3.87,311.55,original
2,3.87,236.09,original
3,17.41,149.01,original
4,56.12,32.89,original
5,58.05,384.17,original
6,58.05,314.5,original
7,61.92,242.9,original
8,76.23,166.0,original
9,165.24,69.24,original
10,240.72,140.85,original
11,174.92,330.49,original
12,130.41,305.34,original
13,134.28,270.51,original
14,64.46,198.55,original
15,115.74,215.96,original
16,137.03,171.45,original
17,165.85,264.88,original
18,203.59,279.4,original
19,231.17,297.3,original
20,191.97,186.99,original
21,228.74,193.76,original
22,315.82,229.08,original
23,280.03,203.44,original
24,292.12,184.09,original
25,252.49,128.69,original
26,189.61,38.23,original
27,68.17,0.0,original
0_1_1,0.2323,389.7754,intermediate
0_1_2,0.4645,384.7808,intermediate
0_1_3,0.6968,379.7862,intermediate
0_1_4,0.9291,374.7916,intermediate
0_1_5,1.1613,369.797,intermediate
0_1_6,1.3936,364.8024,intermediate
0_1_7,1.6259,359.8078,intermediate
0_1_8,1.8581,354.8132,intermediate
0_1_9,2.0904,349.8186,intermediate
0_1_10,2.3227,344.824,intermediate
0_1_11,2.5549,339.8294,intermediate
0_1_12,2.7872,334.8348,intermediate
0_1_13,3.0194,329.8402,intermediate
0_1_14,3.2517,324.8456,intermediate
0_1_15,3.484,319.851,intermediate
0_1_16,3.7162,314.8564,intermediate
1_0_1,3.6377,316.5446,intermediate
1_0_2,3.4055,321.5392,intermediate
1_0_3,3.1732,326.5338,intermediate
1_0_4,2.9409,331.5284,intermediate
1_0_5,2.7087,336.523,intermediate
1_0_6,2.4764,341.5176,intermediate
1_0_7,2.2441,346.5122,intermediate
1_0_8,2.0119,351.5068,intermediate
1_0_9,1.7796,356.5014,intermediate
1_0_10,1.5473,361.496,intermediate
1_0_11,1.3151,366.4906,intermediate
1_0_12,1.0828,371.4852,intermediate
1_0_13,0.8506,376.4798,intermediate
1_0_14,0.6183,381.4744,intermediate
1_0_15,0.386,386.469,intermediate
1_0_16,0.1538,391.4636,intermediate
0_5_1,4.9187,393.8718,intermediate
0_5_2,9.8373,392.9737,intermediate
0_5_3,14.756,392.0755,intermediate
0_5_4,19.6747,391.1774,intermediate
0_5_5,24.5934,390.2792,intermediate
0_5_6,29.512,389.3811,intermediate
0_5_7,34.4307,388.4829,intermediate
0_5_8,39.3494,387.5848,intermediate
0_5_9,44.268,386.6866,intermediate
0_5_10,49.1867,385.7884,intermediate
0_5_11,54.1054,384.8903,intermediate
5_0_1,53.1313,385.0682,intermediate
5_0_2,48.2127,385.9663,intermediate
5_0_3,43.294,386.8645,intermediate
5_0_4,38.3753,387.7626,intermediate
5_0_5,33.4566,388.6608,intermediate
5_0_6,28.538,389.5589,intermediate
5_0_7,23.6193,390.4571,intermediate
5_0_8,18.7006,391.3552,intermediate
5_0_9,13.782,392.2534,intermediate
5_0_10,8.8633,393.1516,intermediate
5_0_11,3.9446,394.0497,intermediate
1_2_1,3.87,306.55,intermediate
1_2_2,3.87,301.55,intermediate
1_2_3,3.87,296.55,intermediate
1_2_4,3.87,291.55,intermediate
1_2_5,3.87,286.55,intermediate
1_2_6,3.87,281.55,intermediate
1_2_7,3.87,276.55,intermediate
1_2_8,3.87,271.55,intermediate
1_2_9,3.87,266.55,intermediate
1_2_10,3.87,261.55,intermediate
1_2_11,3.87,256.55,intermediate
1_2_12,3.87,251.55,intermediate
1_2_13,3.87,246.55,intermediate
1_2_14,3.87,241.55,intermediate
1_2_15,3.87,236.55,intermediate
