ID,x,y,type
0,13575967.1,3501066.2,original
1,13575978.15,3500977.71,original
2,13575979.17,3500868.1,original
3,13575983.8,3500720.9,original
4,13575982.11,3500618.45,original
5,13575984.53,3500493.85,original
6,13575995.32,3500389.72,original
7,13576023.46,3501070.13,original
8,13576021.67,3500988.93,original
9,13576102.14,3501068.46,original
10,13576102.67,3500988.06,original
11,13576102.68,3500866.22,original
12,13576109.12,3500737.92,original
13,13576109.12,3500614.89,original
14,13576109.86,3500374.1,original
15,13576172.09,3501078.88,original
16,13576172.09,3500987.49,original
17,13576240.75,3501077.12,original
18,13576247.19,3500985.73,original
19,13576257.92,3500859.19,original
20,13576251.48,3500737.92,original
21,13576260.06,3500618.41,original
22,13576260.06,3500505.92,original
23,13576255.77,3500372.34,original
24,13576320.15,3501091.18,original
25,13576320.15,3500986.61,original
26,13576328.73,3500860.07,original
27,13576326.58,3500742.32,original
28,13576330.87,3500615.77,original
29,13576326.58,3500501.53,original
30,13576324.44,3500373.22,original
31,13576397.39,3501083.27,original
32,13576399.54,3500987.49,original
33,13576397.39,3500864.47,original
34,13576397.39,3500736.16,original
35,13576403.83,3500621.92,original
36,13576395.25,3500502.41,original
37,13576399.54,3500374.1,original
38,13576498.24,3501084.15,original
39,13576498.24,3500983.1,original
40,13576496.1,3500860.07,original
41,13576493.95,3500731.77,original
42,13576493.95,3500622.8,original
43,13576485.37,3500506.8,original
44,13576493.95,3500374.98,original
45,13576575.49,3501086.79,original
46,13576577.64,3500982.22,original
47,13576569.05,3500864.47,original
48,13576575.49,3500737.92,original
49,13576564.76,3500625.44,original
50,13576560.47,3500512.95,original
51,13576556.18,3500374.1,original
52,13576646.3,3501084.15,original
53,13576639.86,3500986.61,original
54,13576646.3,3500867.1,original
55,13576642.01,3500740.56,original
56,13576635.57,3500621.04,original
57,13576639.86,3500498.01,original
58,13576631.28,3500367.95,original
0_1_1,13575967.7196,3501061.2385,intermediate
0_1_2,13575968.3391,3501056.2771,intermediate
0_1_3,13575968.9587,3501051.3156,intermediate
0_1_4,13575969.5782,3501046.3541,intermediate
0_1_5,13575970.1978,3501041.3927,intermediate
0_1_6,13575970.8173,3501036.4312,intermediate
0_1_7,13575971.4369,3501031.4697,intermediate
0_1_8,13575972.0564,3501026.5083,intermediate
0_1_9,13575972.676,3501021.5468,intermediate
0_1_10,13575973.2955,3501016.5853,intermediate
0_1_11,13575973.9151,3501011.6239,intermediate
0_1_12,13575974.5346,3501006.6624,intermediate
0_1_13,13575975.1542,3501001.7009,intermediate
0_1_14,13575975.7737,3500996.7395,intermediate
0_1_15,13575976.3933,3500991.778,intermediate
0_1_16,13575977.0128,3500986.8165,intermediate
0_1_17,13575977.6324,3500981.8551,intermediate
1_0_1,13575977.5304,3500982.6715,intermediate
1_0_2,13575976.9109,3500987.6329,intermediate
1_0_3,13575976.2913,3500992.5944,intermediate
1_0_4,13575975.6718,3500997.5559,intermediate
1_0_5,13575975.0522,3501002.5173,intermediate
1_0_6,13575974.4327,3501007.4788,intermediate
1_0_7,13575973.8131,3501012.4403,intermediate
1_0_8,13575973.1936,3501017.4017,intermediate
1_0_9,13575972.574,3501022.3632,intermediate
1_0_10,13575971.9545,3501027.3247,intermediate
1_0_11,13575971.3349,3501032.2861,intermediate
1_0_12,13575970.7154,3501037.2476,intermediate
1_0_13,13575970.0958,3501042.2091,intermediate
1_0_14,13575969.4763,3501047.1705,intermediate
1_0_15,13575968.8567,3501052.132,intermediate
1_0_16,13575968.2372,3501057.0935,intermediate
1_0_17,13575967.6176,3501062.0549,intermediate
0_7_1,13575972.0879,3501066.5478,intermediate
0_7_2,13575977.0758,3501066.8956,intermediate
0_7_3,13575982.0637,3501067.2434,intermediate
0_7_4,13575987.0516,3501067.5912,intermediate
0_7_5,13575992.0394,3501067.939,intermediate
0_7_6,13575997.0273,3501068.2868,intermediate
0_7_7,13576002.0152,3501068.6346,intermediate
0_7_8,13576007.0031,3501068.9825,intermediate
0_7_9,13576011.991,3501069.3303,intermediate
0_7_10,13576016.9789,3501069.6781,intermediate
0_7_11,13576021.9668,3501070.0259,intermediate
7_0_1,13576018.4721,3501069.7822,intermediate
7_0_2,13576013.4842,3501069.4344,intermediate
7_0_3,13576008.4963,3501069.0866,intermediate
7_0_4,13576003.5084,3501068.7388,intermediate
7_0_5,13575998.5206,3501068.391,intermediate
7_0_6,13575993.5327,3501068.0432,intermediate
7_0_7,13575988.5448,3501067.6954,intermediate
7_0_8,13575983.5569,3501067.3475,intermediate
7_0_9,13575978.569,3501066.9997,intermediate
7_0_10,13575973.5811,3501066.6519,intermediate
7_0_11,13575968.5932,3501066.3041,intermediate
1_2_1,13575978.1965,3500972.7102,intermediate
1_2_2,13575978.2431,3500967.7104,intermediate
1_2_3,13575978.2896,3500962.7106,intermediate
1_2_4,13575978.3361,3500957.7109,intermediate
1_2_5,13575978.3826,3500952.7111,intermediate
1_2_6,13575978.4292,3500947.7113,intermediate
1_2_7,13575978.4757,3500942.7115,intermediate
1_2_8,13575978.5222,3500937.7117,intermediate
1_2_9,13575978.5687,3500932.7119,intermediate
1_2_10,13575978.6153,3500927.7122,intermediate
1_2_11,13575978.6618,3500922.7124,intermediate
1_2_12,13575978.7083,3500917.7126,intermediate
1_2_13,13575978.7548,3500912.7128,intermediate
1_2_14,13575978.8014,3500907.713,intermediate
1_2_15,13575978.8479,3500902.7132,intermediate
1_2_16,13575978.8944,3500897.7135,intermediate
1_2_17,13575978.941,3500892.7137,intermediate
1_2_18,13575978.9875,3500887.7139,intermediate
1_2_19,13575979.034,3500882.7141,intermediate
1_2_20,13575979.0805,3500877.7143,intermediate
1_2_21,13575979.1271,3500872.7145,intermediate
2_1_1,13575979.1235,3500873.0998,intermediate
2_1_2,13575979.0769,3500878.0996,intermediate
2_1_3,13575979.0304,3500883.0994,intermediate
2_1_4,13575978.9839,3500888.0991,intermediate
2_1_5,13575978.9374,3500893.0989,intermediate
2_1_6,13575978.8908,3500898.0987,intermediate
2_1_7,13575978.8443,3500903.0985,intermediate
2_1_8,13575978.7978,3500908.0983,intermediate
2_1_9,13575978.7513,3500913.0981,intermediate
2_1_10,13575978.7047,3500918.0978,intermediate
2_1_11,13575978.6582,3500923.0976,intermediate
2_1_12,13575978.6117,3500928.0974,intermediate
2_1_13,13575978.5652,3500933.0972,intermediate
2_1_14,13575978.5186,3500938.097,intermediate
2_1_15,13575978.4721,3500943.0968,intermediate
2_1_16,13575978.4256,3500948.0965,intermediate
2_1_17,13575978.379,3500953.0963,intermediate
2_1_18,13575978.3325,3500958.0961,intermediate
2_1_19,13575978.286,3500963.0959,intermediate
2_1_20,13575978.2395,3500968.0957,intermediate
2_1_21,13575978.1929,3500973.0955,intermediate
1_8_1,13575982.9917,3500978.9582,intermediate
1_8_2,13575987.8334,3500980.2065,intermediate
1_8_3,13575992.675,3500981.4547,intermediate
1_8_4,13575997.5167,3500982.703,intermediate
1_8_5,13576002.3584,3500983.9512,intermediate
1_8_6,13576007.2001,3500985.1995,intermediate
1_8_7,13576012.0418,3500986.4477,intermediate
1_8_8,13576016.8835,3500987.696,intermediate
8_1_1,13576016.8283,3500987.6818,intermediate
8_1_2,13576011.9866,3500986.4335,intermediate
8_1_3,13576007.145,3500985.1853,intermediate
8_1_4,13576002.3033,3500983.937,intermediate
8_1_5,13575997.4616,3500982.6888,intermediate
8_1_6,13575992.6199,3500981.4405,intermediate
8_1_7,13575987.7782,3500980.1923,intermediate
8_1_8,13575982.9365,3500978.944,intermediate
2_3_1,13575979.3272,3500863.1025,intermediate
2_3_2,13575979.4844,3500858.1049,intermediate
2_3_3,13575979.6416,3500853.1074,intermediate
2_3_4,13575979.7988,3500848.1099,intermediate
2_3_5,13575979.956,3500843.1124,intermediate
2_3_6,13575980.1131,3500838.1148,intermediate
2_3_7,13575980.2703,3500833.1173,intermediate
2_3_8,13575980.4275,3500828.1198,intermediate
2_3_9,13575980.5847,3500823.1222,intermediate
2_3_10,13575980.7419,3500818.1247,intermediate
2_3_11,13575980.8991,3500813.1272,intermediate
2_3_12,13575981.0563,3500808.1297,intermediate
2_3_13,13575981.2135,3500803.1321,intermediate
2_3_14,13575981.3707,3500798.1346,intermediate
2_3_15,13575981.5279,3500793.1371,intermediate
2_3_16,13575981.6851,3500788.1395,intermediate
2_3_17,13575981.8423,3500783.142,intermediate
2_3_18,13575981.9994,3500778.1445,intermediate
2_3_19,13575982.1566,3500773.147,intermediate
2_3_20,13575982.3138,3500768.1494,intermediate
2_3_21,13575982.471,3500763.1519,intermediate
2_3_22,13575982.6282,3500758.1544,intermediate
2_3_23,13575982.7854,3500753.1568,intermediate
2_3_24,13575982.9426,3500748.1593,intermediate
2_3_25,13575983.0998,3500743.1618,intermediate
2_3_26,13575983.257,3500738.1643,intermediate
2_3_27,13575983.4142,3500733.1667,intermediate
2_3_28,13575983.5714,3500728.1692,intermediate
2_3_29,13575983.7285,3500723.1717,intermediate
3_2_1,13575983.6428,3500725.8975,intermediate
3_2_2,13575983.4856,3500730.8951,intermediate
3_2_3,13575983.3284,3500735.8926,intermediate
3_2_4,13575983.1712,3500740.8901,intermediate
3_2_5,13575983.014,3500745.8876,intermediate
3_2_6,13575982.8569,3500750.8852,intermediate
3_2_7,13575982.6997,3500755.8827,intermediate
3_2_8,13575982.5425,3500760.8802,intermediate
3_2_9,13575982.3853,3500765.8778,intermediate
3_2_10,13575982.2281,3500770.8753,intermediate
3_2_11,13575982.0709,3500775.8728,intermediate
3_2_12,13575981.9137,3500780.8703,intermediate
3_2_13,13575981.7565,3500785.8679,intermediate
3_2_14,13575981.5993,3500790.8654,intermediate
3_2_15,13575981.4421,3500795.8629,intermediate
3_2_16,13575981.2849,3500800.8605,intermediate
3_2_17,13575981.1277,3500805.858,intermediate
3_2_18,13575980.9706,3500810.8555,intermediate
3_2_19,13575980.8134,3500815.853,intermediate
3_2_20,13575980.6562,3500820.8506,intermediate
3_2_21,13575980.499,3500825.8481,intermediate
3_2_22,13575980.3418,3500830.8456,intermediate
3_2_23,13575980.1846,3500835.8432,intermediate
3_2_24,13575980.0274,3500840.8407,intermediate
3_2_25,13575979.8702,3500845.8382,intermediate
3_2_26,13575979.713,3500850.8357,intermediate
3_2_27,13575979.5558,3500855.8333,intermediate
3_2_28,13575979.3986,3500860.8308,intermediate
3_2_29,13575979.2415,3500865.8283,intermediate
2_11_1,13575984.1694,3500868.0239,intermediate
2_11_2,13575989.1688,3500867.9478,intermediate
2_11_3,13575994.1683,3500867.8717,intermediate
2_11_4,13575999.1677,3500867.7956,intermediate
2_11_5,13576004.1671,3500867.7195,intermediate
2_11_6,13576009.1665,3500867.6434,intermediate
2_11_7,13576014.1659,3500867.5673,intermediate
2_11_8,13576019.1654,3500867.4912,intermediate
2_11_9,13576024.1648,3500867.4151,intermediate
2_11_10,13576029.1642,3500867.339,intermediate
2_11_11,13576034.1636,3500867.2629,intermediate
2_11_12,13576039.1631,3500867.1868,intermediate
2_11_13,13576044.1625,3500867.1107,intermediate
2_11_14,13576049.1619,3500867.0346,intermediate
2_11_15,13576054.1613,3500866.9585,intermediate
2_11_16,13576059.1607,3500866.8824,intermediate
2_11_17,13576064.1602,3500866.8063,intermediate
2_11_18,13576069.1596,3500866.7302,intermediate
2_11_19,13576074.159,3500866.6541,intermediate
2_11_20,13576079.1584,3500866.578,intermediate
2_11_21,13576084.1578,3500866.5019,intermediate
2_11_22,13576089.1573,3500866.4258,intermediate
2_11_23,13576094.1567,3500866.3497,intermediate
2_11_24,13576099.1561,3500866.2736,intermediate
11_2_1,13576097.6806,3500866.2961,intermediate
11_2_2,13576092.6812,3500866.3722,intermediate
11_2_3,13576087.6817,3500866.4483,intermediate
11_2_4,13576082.6823,3500866.5244,intermediate
11_2_5,13576077.6829,3500866.6005,intermediate
11_2_6,13576072.6835,3500866.6766,intermediate
11_2_7,13576067.6841,3500866.7527,intermediate
11_2_8,13576062.6846,3500866.8288,intermediate
11_2_9,13576057.6852,3500866.9049,intermediate
11_2_10,13576052.6858,3500866.981,intermediate
11_2_11,13576047.6864,3500867.0571,intermediate
11_2_12,13576042.6869,3500867.1332,intermediate
11_2_13,13576037.6875,3500867.2093,intermediate
11_2_14,13576032.6881,3500867.2854,intermediate
11_2_15,13576027.6887,3500867.3615,intermediate
11_2_16,13576022.6893,3500867.4376,intermediate
11_2_17,13576017.6898,3500867.5137,intermediate
11_2_18,13576012.6904,3500867.5898,intermediate
11_2_19,13576007.691,3500867.6659,intermediate
11_2_20,13576002.6916,3500867.742,intermediate
11_2_21,13575997.6922,3500867.8181,intermediate
11_2_22,13575992.6927,3500867.8942,intermediate
11_2_23,13575987.6933,3500867.9703,intermediate
11_2_24,13575982.6939,3500868.0464,intermediate
3_4_1,13575983.7175,3500715.9007,intermediate
3_4_2,13575983.6351,3500710.9014,intermediate
3_4_3,13575983.5526,3500705.902,intermediate
3_4_4,13575983.4701,3500700.9027,intermediate
3_4_5,13575983.3877,3500695.9034,intermediate
3_4_6,13575983.3052,3500690.9041,intermediate
3_4_7,13575983.2227,3500685.9048,intermediate
3_4_8,13575983.1403,3500680.9054,intermediate
3_4_9,13575983.0578,3500675.9061,intermediate
3_4_10,13575982.9753,3500670.9068,intermediate
3_4_11,13575982.8929,3500665.9075,intermediate
